name,price
Chase Up Powder Coconut,145.00 
Chase Up Whole Black Pepper Spices,95.00 
Chase Up Whole Coriander Spices,135.00 
Chase Up Premium Coriander Powder Spices,75.00 
Chaseup Methi Dana Spices,75.00 
Chaseup Zarda Color,35.00 
Chaseup Red Whole Chilli Spices,175.00 
Chaseup Whole Ajwain Spices,45.00 
Chaseup Soda Powder,25.00 
Chaseup Chat Masala,45.00 
CHASEUP CHINA GRASS,135.00 
CHASEUP COCONUT WHOLE,219.00 
CHASEUP CORIANDER POWDER SPICES 200GM HAMPER,75.00 
MEHRAN PAYA MASALA,120.00 
MEHRAN CHICKEN MASALA D/PACK,230.00 
MEHRAN KARAHI GOSHT MASALA D/PACK,230.00 
MEHRAN NIHARI MASALA D/PACK,230.00 
MEHRAN KOFTA MASALA,120.00 
MEHRAN CHICKEN TIKKA MASAL,120.00 
MEHRAN TANDOORI CHICKEN MASALA,120.00 
MEHRAN SEEKH KABAB MASALA,120.00 
MEHRAN CHAT MASALA,90.00 
MEHRAN CHICKEN BROAST MASALA,120.00 
NATIONAL DEHLI NEHARI MASALA KARACHI KHAAS,115.00 
MEHRAN CHICKEN BROAST MASALA,120.00 
MEHRAN CHAT MASALA,90.00 
MEHRAN SEEKH KABAB MASALA,120.00 
MEHRAN TANDOORI CHICKEN MASALA,120.00 
MEHRAN CHICKEN TIKKA MASAL,120.00 
MEHRAN KOFTA MASALA,120.00 
MEHRAN NIHARI MASALA D/PACK,230.00 
MEHRAN KARAHI GOSHT MASALA D/PACK,230.00 
MEHRAN CHICKEN MASALA D/PACK,230.00 
FRESH MATE CHATPATA RAITA MASALA,260.00 
FALAK OREGANO LEAVES SPICES,160.00 
FALAK BLACK PEPPER POWDER SPICES,360.00 
FALAK DAHI BARA MASALA,225.00 
FALAK CHILLI GARLIC PINK SALT,445.00 
FALAK TEXAS BURGER SPICES,270.00 
FALAK NEW YORK STEAK,270.00 
FALAK PEPPECRORN MEDLEY,725.00 
FALAK THYME LEAVES,160.00 
FRESH MATE ZEERA RAITA MASALA,270.00 
KNORR CHICKEN RECIPE CUBES,408.00 
ITALIANO CAJUN SEASONING POWDER SPICES BOTTLE,490.00 
KNORR CHICKEN PULAO CUBE,410.00 
ITALIANO CREAM OF TARTAR POWDER SPICES BOTTLE,332.00 
KNORR CHICKEN SOUP STOCK JAR,3040.00 
NATIONAL BIRYANI MASALA,115.00 
NATIONAL BROAST MASALA,115.00 
NATIONAL DEHLI NEHARI MASALA KARACHI KHAAS,115.00 
NATIONAL KARAHI GOSHT MASALA KARACHI KHAAS,115.00 
SHAN QORMA MASALA MONTHLY PACK,395.00 
SHAN HUNTER BEEF MASALA,105.00 
SHAN ACHAR GOSHT MASALA D/PACK,230.00 
SHAN CHICKEN MASALA D/PACK,230.00 
SHAN KARACHI BEEF BIRYANI MASALA,120.00 
SHAN FISH MASALA D/PACK,230.00 
SHAN PAYA MASALA D/PACK,230.00 
SHAN BRAIN MASALA,120.00 
SHAN BOMBAY BIRYANI MASALA MONTLY PACK,435.00 
SHAN BIRYANI MASALA MONTHLY PACK,395.00 
CHASEUP RED CHILLI KASHMIRI WHOLE,199.00 
National Garlic Powder Spices,116.00 
NATIONAL CHICKEN TIKKA MASALA,105.00 
SELANI TURMERIC POWDER SPICES,95.00 
CHASEUP (G) PHOOL MAKHANA ( LOTUS SEEDS ),139.00 
SHAN KARAHI MASALA MONTHLY PACK,440.00 
SHAN TIKA BOTI MASALA D/PACK,230.00 
SHAN NIHARI MASALA MONTHLY PACK,440.00 
SHAN TAZA DHANIA POWDER SPICES,75.00 
CHASEUP QASURI METHI,59.00 
Shan Vegetable Masala,95.00 
Shan Nihari Masala D/pack,189.00 
Shan Khalis Haldi Powder Spices,90.00 
Shan Pilau Biryani Masala D/pack,189.00 
Shan Sindhi Biryani Masala D/pack,189.00 
Shan Karahi Fry Gosht Masala D/pack,189.00 
Dashi Chicken Recipe Powder,17.00 
Shan Biryani Masala D/pack,189.00 
Shan Meat Tenderizer Powder,85.00 
Shan Chicken Tikka Masala D/pack,189.00 
Shan Tandoori Masala D/pack,189.00 
Shan Haleem Masala D/pack,189.00 
Shan Qorma Masala D/pack,189.00 
National Turmeric Powder Spices,90.00 
Shan Chat Masala,99.00 
Shan Murgh Cholay Masala,95.00 
Italiano Tarragon Herbs Bottle,346.00 
Italiano Parsley Flakes Leaves Bottle,265.00 
Italiano Rosemary Leaves Bottle,168.00 
Italiano Thyme Leaves Bottle,168.00 
Italiano Cardamom Powder Spices Bottle,428.00 
Italiano Cinnamon Powder Spices Bottle,226.00 
Italiano Jaifal Nutmeg Powder Spices Bottle,370.00 
Italiano Onion Powder Spices Bottle,284.00 
Italiano Salt & Pepper Powder Spices Bottle,212.00 
Italiano White Pepper Spices Bottle,399.00 
Italiano Orange Peel Powder Bottle,197.00 
Italiano Paprika Powder Spices Bottle,322.00 
Italiano Unseasoned Meat Tenderizer Spices Bottle,168.00 
National Black Pepper Powder Spices,97.00 
National Corriander Powder Spices,195.00 
Mehran Basil Leaves Jar,195.00 
Mehran Coriander Powder Spices,310.00 
Mehran Cumin Powder Spices,90.00 
Mehran Curry Powder Spices,120.00 
Mehran Curry Powder Spices,40.00 
Mehran Garam Masala Spices,120.00 
Mehran Oregano Leaves Jar,195.00 
Mehran Red Chilli Powder Spices,190.00 
Mehran Red Chilli Powder Spices,365.00 
Mehran Thyme Leaves Jar,195.00 
Shan Shami Kabab Masala D/pack,189.00 
National Qasuri Methi,54.00 
NATIONAL FRUIT CHAT MASALA BOX,49.00 
NATIONAL KARACHI KHAAS BOMBAYBIRYANI MASALA,105.00 
NATIONAL KARACHI KHAAS BOMBAYBIRYANI MASALA D/PACK,210.00 
NATIONAL ZAIQAYDAAR SABZI GOSHT RECIPE MIX,44.00 
NATIONAL DAIGHI DANEDAR HALEEMMASALA MIX RECIPE,320.00 
Master Chef Fried Onion Pouch,360.00 
Shangrila Apple Cider Vinegar 485ML,330.00 
DASHI CHICKEN RECIPE POWDER JAR,775.00 
DASHI CHICKEN RECIPE POWDER,106.00 
DASHI CHICKEN RECIPE POWDER,775.00 
FALAK PERI PERI SEASONING SPICES,325.00 
FALAK MEAT TENDERIZER POWDER,215.00 
FALAK OREGANO LEAVES SPICES,160.00 
FALAK PAPRIKA POWDER SPICES,360.00 
FALAK BLACK PEPPER POWDER SPICES,360.00 
FALAK DAHI BARA MASALA,225.00 
FALAK CHILLI GARLIC PINK SALT,445.00 
FALAK TEXAS BURGER SPICES,270.00 
FALAK NEW YORK STEAK,270.00 
FALAK PEPPECRORN MEDLEY,725.00 
FALAK THYME LEAVES,160.00 
FRESH MATE ZEERA RAITA MASALA,270.00 
FRESH MATE CHATPATA RAITA MASALA,260.00 
FRESH MATE ARABIC DUKKAH RAITAMASALA,260.00 
FRESH MATE SEASONING CHILLI GARLIC MASALA JAR,260.00 
FRESH MATE SEASONING SOUR CREAM ONION MASALA JAR,260.00 
ITALIANO CREAM OF TARTAR POWDER SPICES BOTTLE,332.00 
ITALIANO CAJUN SEASONING POWDER SPICES BOTTLE,490.00 
KNORR CHICKEN PULAO CUBE,410.00 
KNORR CHICKEN RECIPE CUBES,408.00 
KNORR CHICKEN SOUP STOCK JAR,3040.00 
MEHRAN BOMBAY BIRYANI MASALA D/PACK,230.00 
MEHRAN CHICKEN MASALA D/PACK,230.00 
MEHRAN KARAHI GOSHT MASALA D/PACK,230.00 
MEHRAN NIHARI MASALA D/PACK,230.00 
MEHRAN KOFTA MASALA,120.00 
MEHRAN CHICKEN TIKKA MASAL,120.00 
MEHRAN TANDOORI CHICKEN MASALA,120.00 
MEHRAN SEEKH KABAB MASALA,120.00 
MEHRAN CHAT MASALA,90.00 
MEHRAN CHICKEN BROAST MASALA,120.00 
MEHRAN PAYA MASALA,120.00 
MEHRAN TIKKA BIRYANI MASALA,120.00 
MEHRAN TIKKA KARAHI MASALA,120.00 
MEHRAN TIKKA BIRYANI MASALA D/PACK,230.00 
MEHRAN TIKKA KARAHI MASALA D/PACK,230.00 
NATIONAL GARAM MASALA POWDER SPICES,135.00 
NATIONAL BIRYANI MASALA,115.00 
NATIONAL BROAST MASALA,115.00 
NATIONAL DEHLI NEHARI MASALA KARACHI KHAAS,115.00 
NATIONAL KARAHI GOSHT MASALA KARACHI KHAAS,115.00 
NATIONAL KOFTA MASALA,115.00 
NATIONAL MURGHI MASALA,115.00 
NATIONAL QORMA MASALA KARACHIKHAAS,115.00 
NATIONAL SHAMI KABAB MASALA,115.00 
NATIONAL SINDHI BIRYANI MASALA,115.00 
NATIONAL TANDOORI CHICKEN MASALA,115.00 
NATIONAL ACHAR GOSHT MASALA D/PACK KARACHI KHASS,225.00 
NATIONAL BIRYANI MASALA D/PACK,225.00 
NATIONAL FISH MASALA D/PACK,225.00 
NATIONAL QORMA MASALA D/PACK KARACHI KHAAS,220.00 
NATIONAL ACHAR GOSHT MASALA KARACHI KHAAS,115.00 
NATIONAL PULAO MASALA,115.00 
NATIONAL CHAT MASALA BOX,95.00 
NATIONAL CHAT MASALA BOX,150.00 
ROSSMOOR WHITE PEPPER SPICES BOTTLE,200.00 
SHAN ZAFARANI GARAM MASALA SPICES,137.00 
SHAN TEEKHI KALI MIRCH SPICE,90.00 
SHAN TEZ LAL MIRCH POWDER SPICES,200.00 
SHAN TEZ LAAL MIRCH SPICES,100.00 
SHAN TAZA DHANIA POWDER SPICES,75.00 
SHAN HUNTER BEEF MASALA,105.00 
SHAN ACHAR GOSHT MASALA D/PACK,230.00 
SHAN CHICKEN MASALA D/PACK,230.00 
SHAN KARACHI BEEF BIRYANI MASALA,120.00 
SHAN FISH MASALA D/PACK,230.00 
SHAN PAYA MASALA D/PACK,230.00 
SHAN BRAIN MASALA,120.00 
SHAN BOMBAY BIRYANI MASALA MONTLY PACK,435.00 
SHAN BIRYANI MASALA MONTHLY PACK,395.00 
SHAN QORMA MASALA MONTHLY PACK,395.00 
SHAN TIKA BOTI MASALA D/PACK,230.00 
SHAN NIHARI MASALA MONTHLY PACK,440.00 
SHAN KARAHI MASALA MONTHLY PACK,440.00 
CHASEUP QASURI METHI,59.00 
CHASEUP RED CHILLI KASHMIRI WHOLE,199.00 
CHASEUP (G) PHOOL MAKHANA ( LOTUS SEEDS ),139.00 
SELANI TURMERIC POWDER SPICES,95.00 
NATIONAL CHICKEN TIKKA MASALA,105.00 
National Garlic Powder Spices,116.00 
Chase Up Long D/w Bar,60.00 
Chaseup Lemon Liquid Dish Wash,210.00 
Chaseup Orange Liquid Dish Wash,210.00 
Chaseup Mint Liquid Dish Wash,210.00 
Vim Lemon D/w Liquid,430.00 
Lemon Max L/f D/w Liquid Bottle,255.00 
Lemon Max a/b D/w Powder Poly Bag,175.00 
Lemon Max D/w Powder P/p Bottle,125.00 
Lemon Max D/w Powder With Bleach,170.00 
VIM LEMON LONG D/W BAR TWIN PACK 230GM,145.00 
VIM LEMON D/W LIQUID POUCH,529.00 
VIM LEMON D/W POWDER POLY BAG,145.00 
LEMON MAX D/W BAR,75.00 
SUFI SAFON D/W BAR TWIN PACK,129.00 
LEMON MAX ANTIBACTERIAL D/W LIQUID POUCH,275.00 
LEMON MAX ULTRA GREEN D/W LIQUID,445.00 
LEMON MAX YELLOW PASTE,399.00 
LEMON MAX GREEN PASTE,399.00 
SUFI SAFON D/W POWDER JAR,107.00 
AZADI D/W BAR,14.00 
EXPRESS POWER DETERGENT BAR,67.00 
Lemon Max Long D/w Bar Twin Pack,120.00 
Lemon Max D/w Liquid Bottle,160.00 
Lemon Max D/w Liquid Pouch,199.00 
Lemon Max D/w Liquid Bottle,249.00 
Vim Lemon D/w Powder Poly Bag,77.00 
Lemon Max D/w Bar,24.00 
Lemon Max a/b D/w Liquid Bottle,295.00 
Lemon Max Green D/w Paste,139.00 
Lemon Max Yellow D/w Paste,139.00 
Vim Lemon D/w Bar,24.00 
Vim Lemon D/w Liquid,259.00 
Lemon Max Long D/w Bar,62.00 
Lemon Max D/w Bar,63.00 
Lemon Max D/w Bar,39.00 
Lemon Max D/w Powder Poly Bag,81.00 
Lemon Max D/w Powder Poly Bag,155.00 
Lemon Max Green D/w Paste,235.00 
Lemon Max Yellow D/w Paste,235.00 
Vim Lemon D/w Bar,73.00 
Lemon Max a/b D/w Liquid Bottle,395.00 
Lemon Max D/w Liquid Bottle,370.00 
FIGARO PLAIN GREEN OLIVES,1185.00 
The Natural Swat Honey Jar,240.00 
DELMONTE SLICED BLACK OLIVES,985.00 
DELMONTE FRUIT COCKTAIL,2500.00 
DELMONTE TIDBITS PINEAPPLE,780.00 
DELMONTE FRUIT COCKTAIL,865.00 
DELMONTE PINEAPPLE SLICE,1005.00 
DELMONTE NATA DE COCO COCONUTTIN,399.00 
FIGARO SLICED BLACK OLIVES,1040.00 
FIGARO PITTED BLACK OLIVES,1250.00 
The Natural Swat Honey Jar,740.00 
FIGARO STUFFED GREEN OLIVES,2630.00 
FIGARO STUFFED GREEN OLIVES,1210.00 
FIGARO SLICED GREEN OLIVES,1040.00 
FIGARO PITTED GREEN OLIVES,1250.00 
FIGARO STUFFED GREEN OLIVES,950.00 
POLAC FRUIT COCKTAIL TIN,685.00 
POLAC FRUIT COCKTAIL TIN,335.00 
POLAC FRUIT COCKTAIL TIN,2265.00 
POLAC WHOLE CORN TIN,299.00 
Figaro Plain Green Olives,2500.00 
Figaro Sliced Green Olives,1450.00 
Figaro Stuffed Green Olives,1040.00 
Polac Broken Pineapple Slice Tin,480.00 
Polac Fruit Cocktail Tin,575.00 
Figaro Sliced Black Olives,2350.00 
Polac Pineapple Slice Tin,540.00 
Mitchells Chick Peas Tin,390.00 
Mitchells Garden Peas Tin,300.00 
Mitchells Chick Peas Tin,555.00 
Figaro Sliced Black Olives,1450.00 
Figaro Plain Black Olives,2500.00 
Delmonte Pineapple Slice Tin,780.00 
Figaro Sliced Green Olives,2450.00 
Figaro Pitted Green Olives,1550.00 
Delmonte Tidbits Pineapple Tin,605.00 
Figaro Pitted Black Olives,1585.00 
Delmonte Fruit Cocktail Tin,620.00 
Delmonte Whole Kernel Corn Tin,505.00 
The Natural Swat Honey Jar,410.00 
Mon Salwa French Fries,712.00 
Opa Flavorful 4 Way Mixed Vegetables,385.00 
Opa Plum Green Peas Pouch,518.00 
AK SUPER SWEET FROZEN CORN,695.00 
CHASE UP (G) VEGETABLE SPRINGROLL,435.00 
MON SALWA VEGE BURGER PATTIES,365.00 
MON SALWA VEGE NUGGETS,358.00 
MON SALWA CRISPY POTATO NUGGETS,515.00 
OPA CRINKLE FRENCH FRIES POUCH,380.00 
OPA PLUMP GREEN PEAS,335.00 
OPA GOLDEN SWEET CORN,335.00 
OPA JUICY STRAWBERRIES,475.00 
OPA DELICIOUS MANGOES,289.00 
OPA POTATO BITES,720.00 
Delmonte Pinapple Slice Tin 432GM,605.00 
NATIONAL MANGO CUSTARD POWDER,90.00 
NATIONAL VANILLA CUSTARD POWDER,90.00 
NATIONAL VANILLA CUSTARD POWDER,180.00 
HAPPY HOME VANILLA CUSTARD POWDER,150.00 
HAPPY HOME MANGO PUDDING MIX,100.00 
HAPPY HOME CRYSTAL ORANGE JELLY MIX,100.00 
HAPPY HOME CRYSTAL RASPBERRY JELLY MIX,100.00 
HAPPY HOME CRYSTAL BANANA JELLY MIX,100.00 
Burhani C-Zun Rose Syrup 800ML,252.00 
Burhani C-Zun Blue Barry Syrup800ML,278.00 
Burhani C-Zun Ice Cream Syrup 800ML,252.00 
HAPPY HOME STRAWBERRY LAB E SHEREEN,145.00 
Fruitamins Broken Pineapple Slice,495.00 
Fruitamins Fruit Cocktail Tin,575.00 
Fruitamins Fruit Cocktail Tin,355.00 
Laziza Vermicelli Kheer Mix,136.00 
Laziza Pistachio Rasmalai Mix,220.00 
Laziza Gajar Kheer Mix,136.00 
Laziza Doodh Dullari Dessert Mix,220.00 
Laziza Almond Rasmalai Mix,220.00 
Laziza Almond Original Kheer Mix,135.00 
Happy Home Jelly Falooda Mix,163.00 
Happy Home Firni Mix,63.00 
SANTAN COCONUT MILK POWDER,1100.00 
ROSSMOOR INSTANT COCONUT MILKPOWDER,205.00 
RAFHAN CHOCOLATE CUSTARD,130.00 
NATIONAL VANILLA CUSTARD POWDER,90.00 
NATIONAL MANGO CUSTARD POWDER,90.00 
NATIONAL VANILLA CUSTARD POWDER,180.00 
NATIONAL CRYSTAL STRAWBERRY JELLY MIX,135.00 
LAZIZA RABRI FALOODA MIX,205.00 
Happy Home Egg Pudding Mix,100.00 
ITALIANO VANILLA & CHOCOLATE CHIP RECIPE MIX BOX,197.00 
ITALIANO PLAIN CHOCOLATE CHIPRECIPE MIX BOX,197.00 
HAPPY HOME CHINA GRASS ASSORTED,100.00 
HAPPY HOME CRYSTAL STRAWBERRYJELLY MIX,100.00 
HAPPY HOME SHEER KHURMA MIX,160.00 
HAPPY HOME KHEER RICE PUDDING MIX,125.00 
HAPPY HOME RABRI FALOODA MIX,145.00 
HAPPY HOME VANILLA LAB E SHEREEN,145.00 
HAPPY HOME PINEAPPLE LAB E SHEREEN,145.00 
Laziza Standard Rasmalai Mix,220.00 
Italiano Pound Cake Mix Box,428.00 
Italiano Marble Cake Mix Box,428.00 
Laziza Kulfa Khoya Badami Dessert Mix,220.00 
Happy Home Chocolate Flavour Dessert Mix,115.00 
Happy Home Caramel Pudding Mix,100.00 
Happy Home Crystal Blue Berry Jelly Mix,100.00 
Rafhan Mango Jelly Mix,149.00 
Laziza Jelly Falooda Mix,220.00 
Laziza Gulab Jamun Mix,220.00 
Laziza Pistachio Kheer Mix,136.00 
Italiano Dark Cooking Chocolate,327.00 
Rafhan Banana Custard Powder,170.00 
Rafhan Mango Custard Powder,180.00 
Rafhan Strawberry Custard Powder,170.00 
Laziza Saffron Sheer Khurma Mix,220.00 
Salmans Strawberry Topping Syrup,570.00 
Rafhan Vanilla Custard Powder,175.00 
Rafhan Strawberry Jelly Mix,149.00 
Rafhan Egg Pudding Mix,150.00 
Rafhan Banana Jelly Mix,149.00 
Betty Crocker S/m Dark Chocolate Cake Mix,754.00 
Happy Home Crystal Pineapple Jelly Mix,100.00 
Mehran Zafran Kheer Mix,110.00 
Mehran Strawberry Jelly Falooda Dessert Mix,155.00 
Mehran Sheer Khurma Mix,155.00 
Mehran Shahi Tukra Dessert Mix,145.00 
Mehran Kheer Mix,110.00 
Mehran Firni Mix,110.00 
Mehran Doodh Dulari Dessert Mix,155.00 
Betty Crocker S/m Vanila Cake Mix,754.00 
Betty Crocker S/m Milk Chocolate Cake Mix,754.00 
Laziza Standard Kheer Mix,136.00 
Betty Crocker S/m Chocolate Fudge Cake Mix,754.00 
Betty Crocker Dark Chocolate Fudge Brownie Mix,810.00 
Betty Crocker Chocolate Fudge Brownie Mix,810.00 
Betty Crocker Chocolate Chip Cookies Mix,1050.00 
Betty Crocker Butter Milk Pancake Mix,1223.00 
Italiano White Chocolate Chip Recipe Mix Box,197.00 
Italiano Chocolate Pudding Mix,100.00 
Italiano Fudge Dark Chocolate,428.00 
Italiano Original Pancake Mix Box,428.00 
MENU CHICKEN SEEKH KABAB POLYBAG,841.00 
PK CHICKEN SHAMI KABAB,890.00 
PK CHICKEN CHAPLI KABAB,745.00 
PK CHICKEN FILLET,970.00 
PK CHICKEN POPCORN,999.00 
PK CRISPY CHICKEN BURGER,949.00 
PK CHICKEN CHAPLI KABAB,1169.00 
MON SALWA JUICY CHICKEN NUGGETS,455.00 
MON SALWA TIKKA CHICKEN CHUNKS,760.00 
MON SALWA CRUNCHY CHICKEN NUGGETS,879.00 
MON SALWA CHICKEN TIKKA BOTI,960.00 
MON SALWA CHICKEN SHAMI KABAB,830.00 
MON SALWA CRISPY CHICKEN BURGER,1140.00 
MENU CHICKEN KOFTA POLY BAG,571.00 
MENU CHICKEN NUGGETS,960.00 
DAWN CHICKEN HEARTS CHEESE BALLS,955.00 
DAWN CHICKEN KOFTA POLY BAG,1780.00 
MENU CHICKEN TULIPS,842.00 
MENU CHICKEN HAND KRAFTED TENDERS,795.00 
MENU GOLA KABAB,1105.00 
MENU CHICKEN TIKKA BITE,729.00 
MENU CHICKEN NUGGETS POLY BAG,877.00 
MENU CHICKEN KOFTA,1275.00 
MENU CHICKEN CHAPLI KABAB,1017.00 
PK CHICKEN POPCORN,999.00 
PK CHICKEN FILLET,970.00 
PK CHICKEN CHAPLI KABAB,745.00 
PK CHICKEN SHAMI KABAB,890.00 
SABROSO CHICKEN NUGGETS,1680.00 
PK CRISPY CHICKEN BURGER,862.00 
